screen_name,statuses
TUBEZDR,"['@BeckyQuick Now it just needs a laser guidance system to track in low altitude smart missles... oh wait... never mind!', 'https://t.co/co9J8818c4', '@VancityReynolds Coffin #easydecision', 'One of the many problems with the over use of “T” is the infertility it causes in men. Many clinicians don’t even r… https://t.co/gxNb4AQhoA', 'Addressing challenges in developing and implementing successful in vitro fertilization in endangered species: an op… https://t.co/6JA5qKh3QV', '@ItsDonAllen @LaurenWFTS IKR!', '@LaurenWFTS We can help! https://t.co/HvcvpT0llZ #baby #ivf #donorsperm #PGS', 'We are all about the #eggs !https://t.co/gr2chdUoYY #ivf #donoreggs Happy Easter 🥚🐰🐇🐣', '@WFLAmeredyth No bueno!', '#endometriosis is an invisible disease that causes pain and infertility. We can help you! https://t.co/HvcvpT0llZ']"
WaskoDr,"['@JOP691 @ChooseWiselyCA @SaskHealth @canadanurses @SRNAdialogue Yes. Nurses present today, including @AimeeBoutin', 'Developing tools so care providers can use #antibioticswisely @ChooseWiselyCA #AntibioticStewardship']"
PattyLDixon,"['Stephanie, love this picture! Agree with you, just the greatest guy. Proud he is a @AZCardinals ! https://t.co/mT4VpgmVwg', 'I’m in my big girl heels and still look like a toddler next to this giant of a man @LarryFitzgerald  And what a tru… https://t.co/ihNz1sEkc8', 'We are so lucky! I always am reminded when I travel, rush out to see a sunrise and....yea, not Arizona standards. https://t.co/8eNAH6TGJG', ""There's a sunrise and a sunset every single day, and they're absolutely free. Go get it!\n\n#Sunrise  #Arizona https://t.co/6M5FnuOQKF"", 'SAME! There is so much construction during my commute that I need to leave early...like, 10 minutes go early.  Happ… https://t.co/NRhI3RZozS', '@ChrisCuomo @KellyannePolls You do understand when you scream over each other that no one can understand what eithe… https://t.co/JxARMcYZUz', '@ChrisCuomo @KellyannePolls You do understand when you scream over each other that no one can understand what eithe… https://t.co/dLSuV2RUJk', ""&lt;---Still tired, still restless. Now buying a bunch of apps I don't need, most on how to sleep.  @Apple  you are welcome!\n\n#Insomnia"", '@WilliamShatner Have wicked insomnia. Please continue entertaining me.', ""Without the night, we'd never see the stars.\n\n#nighttime https://t.co/NwmsJ9nGvq""]"
hospital_guide,"['Hoffman Estates IL USA - Dynamic Practice/Office Manager for Service Oriented Vet Practice - Barrington Square Anim… https://t.co/dgBt9t7XSo', 'Arlington United States - Medical Assistant-PRN Multiple Locations - Virginia #Hospital Center Physician Group offe… https://t.co/kZjxVcw5ho', 'New Orleans LA USA - Director of Nursing - Community Care #Hospital has an exciting opening in our Nursing Departme… https://t.co/Zhbh9Fs4dl', 'us - Certified Medical Assistant - A hidden gem among hospitals it is small enough to provide the personal attentio… https://t.co/pfO39eIkx9', 'Oconomowoc WI USA - Certified Nursing Assistant with #hospital experience - Certified Nursing Assistant with hospit… https://t.co/F3fpiWT2tW', 'East China Township United States - Patient Access Associate - St. John River District #Hospital - Provide courteou… https://t.co/vMXllDBSki', 'Point Pleasant WV USA - Registered Nurses - Pleasant Valley #Hospital currently has openings for full-time - part-t… https://t.co/ysql3UVTdJ', 'Salt Lake City United States - Patient Admitting Rep - Radiology Department - St Markx27s #Hospital Radiology Depar… https://t.co/gphSPx6iXM', 'London UK - Deputy Team Manager - #Hospital Discharge - Deputy Team Manager - Hospital Discharge Save Share Share D… https://t.co/XOBrCVbLdH', 'Ontario CA USA - Nurse Manager - Pediatric Rehabilitation - Totally Kids Rehabilitation #Hospital is currently seek… https://t.co/9bSEaIMoZ1']"
RalphTurchiano,"['Wine Polyphenols could fend off bacteria that cause cavities and gum\xa0disease https://t.co/qjJipc1QxU https://t.co/s9o8HuMHgV', 'Wine Polyphenols could fend off bacteria that cause cavities and gum\xa0disease https://t.co/qjJipc1QxU https://t.co/xAQNgj3mC3', 'Wine Polyphenols could fend off bacteria that cause cavities and gum disease: https://t.co/AzzAC9HuQf via @YouTube', 'New affordable hepatitis C combination treatment shows 97 percent cure\xa0rate https://t.co/3e6JxnGzL3 https://t.co/9zZi52dIrK', 'New affordable hepatitis C combination treatment shows 97 percent cure\xa0rate https://t.co/fwR1dYB2h4 https://t.co/bGd8giU4MJ', 'Certain iron supplements may influence the development of colon\xa0cancer https://t.co/1N388BeZlS https://t.co/w4fUCRDENf', 'Study explores carbohydrates’ impact on head, neck\xa0cancers https://t.co/IBNGgrNsAX https://t.co/C57RiYWWWD', '@IARPAnews Has anyone used the inevitable movie sequel in their machine training model, yet? 70/30 wise ;-) i.e Bat… https://t.co/u2Wh7mWish', 'https://t.co/kTltDlgdIk https://t.co/sKCn5yI8HZ', 'Antioxidants and amino acids could play role in mental\xa0illness https://t.co/UMlY3QBLEU https://t.co/apKDxDvxqt']"
Doctor_Emi_,"['If you are looking for a way to use #lentils, here is a wonderful recipe for tasty #LentilSoup: https://t.co/P5iodxkzx4\n#vegan', 'Some very exciting studies on #curcumin re: #DiabeticRetinopathy, #metabolicsyndrome, #cancer, #fattyliverdisease,… https://t.co/tayg6xEotl', '""#Curcumin Alleviates #DiabeticRetinopathy in Experimental Diabetic Rats."" https://t.co/D3FBgcCXeV… https://t.co/fMaoljKQxa', '#Walnuts Decrease Risk of #CardiovascularDisease: ""Walnuts have been shown to decrease low density lipoprotein chol… https://t.co/JIXCyXcw5X', 'And here is a fine example: https://t.co/N9D5I9RplN https://t.co/4NkzvefMdD', '""Although there is no cure for #Schizophrenia , new research suggests that vitamin B supplements may significantly… https://t.co/oFROiV9oiJ', 'The #Interstitium - the new organ:\n\nhttps://t.co/HH7lYYSsH6', '@Flower_Base_ Beautiful.', '#CollardGreens are beneficial in the areas of #bonehealth, #diabetes and #liver function, #digestion, #sleep and mo… https://t.co/eyF33qwVfC']"
dewkie,"['@DukeAlumni @DukeU_NrsngSchl @DukeAlumni Let’s see what happens next https://t.co/O2WoTxbZGX', 'Days late!! https://t.co/yikUBnLtPm', 'Last chance to register for #DukeReunions 2018 😈🎉 https://t.co/Cg4liCbTHi', 'Wow’. Stolen documents https://t.co/Or26E42rCo', '@DukeU_NrsngSchl can’t wait to be one!  Class of 1975 https://t.co/lQf5Ac3UNH', 'Hated to miss!  Will be there for the 50th if 1975!! @DukeU_NrsngSchl https://t.co/ywjv5DicUp']"
RalphTurchiano,"['Wine Polyphenols could fend off bacteria that cause cavities and gum\xa0disease https://t.co/qjJipc1QxU https://t.co/s9o8HuMHgV', 'Wine Polyphenols could fend off bacteria that cause cavities and gum\xa0disease https://t.co/qjJipc1QxU https://t.co/xAQNgj3mC3', 'Wine Polyphenols could fend off bacteria that cause cavities and gum disease: https://t.co/AzzAC9HuQf via @YouTube', 'New affordable hepatitis C combination treatment shows 97 percent cure\xa0rate https://t.co/3e6JxnGzL3 https://t.co/9zZi52dIrK', 'New affordable hepatitis C combination treatment shows 97 percent cure\xa0rate https://t.co/fwR1dYB2h4 https://t.co/bGd8giU4MJ', 'Certain iron supplements may influence the development of colon\xa0cancer https://t.co/1N388BeZlS https://t.co/w4fUCRDENf', 'Study explores carbohydrates’ impact on head, neck\xa0cancers https://t.co/IBNGgrNsAX https://t.co/C57RiYWWWD', '@IARPAnews Has anyone used the inevitable movie sequel in their machine training model, yet? 70/30 wise ;-) i.e Bat… https://t.co/u2Wh7mWish', 'https://t.co/kTltDlgdIk https://t.co/sKCn5yI8HZ', 'Antioxidants and amino acids could play role in mental\xa0illness https://t.co/UMlY3QBLEU https://t.co/apKDxDvxqt']"
SMART_MD,"[""Artificial Intelligence Is (and Isn't) Transforming Radiology https://t.co/ULACUpfWAi via @columbusceomag https://t.co/HkMEXuXD0d"", 'Blockchain Explained Simply – An Easy Analogy - Mango Research https://t.co/iA4roYa6xD https://t.co/py3YAd06bD', '“Four trends are driving the healthcare shift: an ongoing movement toward value-based payments; improved health car… https://t.co/Z3dBEyAUHF', ""Sleep deprivation increases brain protein linked to Alzheimer's disease https://t.co/ygQyBSS4mz via @newsmedical https://t.co/jASrKoYRae"", 'Palliative care intervention by social workers improved advanced care planning, without adversely affecting quality… https://t.co/PFDKwzCFUD', ""Hospice and palliative experts extend family doctor's care at end of life: Dr. Walter George (Opinion)… https://t.co/gP9xZg4FU5"", 'Outpouring of support for former First Lady Barbara Bush https://t.co/6XUyhZo1kS https://t.co/aEwM6S388y', 'Palliative care: Going beyond traditional medicine https://t.co/N2NFheH5kZ via @bangordailynews https://t.co/V8jzQD46sv', 'Mice with peanut allergies were cured with a new ""vaccine,"" according to researchers @MHealthLab… https://t.co/sKoC97sDdN', 'Nudging Patients to Use EHRs: Moving Toward a Tipping Point for Consumer Health IT https://t.co/cwDMno1s9W via… https://t.co/MWnZ8felKA']"
SaintLukesJobs,"[""If you're looking for work in #KCMO, MO, check out this #job: https://t.co/3Qi1mBWoxi #Healthcare #Hiring"", ""We're #hiring! Click to apply: Registered Nurse II - https://t.co/XZIPKQJceY #Nursing #KCMO, MO #Job #Jobs"", 'Want to work in #Garnett, KS? View our latest opening: https://t.co/nooNyqt9RK #Nursing #Job #Jobs #Hiring', ""We're #hiring! Read about our latest #job opening here: Referral Specialist - https://t.co/f6gY0fixPs #Clinic #KCMO, MO"", 'See our latest #KCMO, MO #job and click to apply: Clinical Education Specialist - https://t.co/SlPJSJdvMT #Healthcare #Hiring', ""If you're looking for work in #LeesSummit, MO, check out this #job: https://t.co/1vH5XoPZxH #Nursing #Hiring"", 'See our latest #Leavenworth, KS #job and click to apply: Exercise Specialist - Rehab Services: PT , Days -… https://t.co/TK8qXR0Owd', ""We're #hiring! Read about our latest #job opening here: Nursing Assistant - SLSH Progressive Care Unit (Part Time D… https://t.co/9YKbM4jCnb"", 'Can you recommend anyone for this #job? Nursing Assistant - Medical/Surgical: PRN Shifts - https://t.co/KEWUcFCQxr… https://t.co/uGu098C6TP', ""Join the Saint Luke's Health System team! See our latest #job opening here: https://t.co/PHoDsRYNi9 #SocialSciences #KCMO, MO #Hiring""]"
